"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"1097","Sherrod Brown","Sherrod Brown","1952-11-09",NA,NA,"Sherrod BrownUnited States Senatorfrom OhioIncumbentAssumed office January 3, 2007Serving with Rob PortmanPreceded byMike DeWineRanking Member of the Senate Banking CommitteeIncumbentAssumed office January 3, 2015Preceded byMike CrapoMember of the U.S. House of Representativesfrom Ohio's 13th districtIn officeJanuary 3, 1993<U+00A0><U+0096> January 3, 2007Preceded byDonald J. PeaseSucceeded byBetty Sutton47th Secretary of State of OhioIn officeJanuary 12, 1983<U+00A0><U+0096> January 14, 1991GovernorDick CelestePreceded byAnthony J. Celebrezze Jr.Succeeded byBob TaftMember of the Ohio House of Representativesfrom the 61st districtIn officeJanuary 3, 1975<U+00A0><U+0096> December 31, 1982Preceded byJoan DouglassSucceeded byFrank Sawyer",0,"BornSherrod Campbell Brown (1952-11-09) November 9, 1952 (age<U+00A0>67)Mansfield, Ohio, U.S.Political partyDemocraticSpouse(s)Larke Ummel(m.<U+00A0>1979; div.<U+00A0>1987)Connie Schultz (m.<U+00A0>2004)[1]Children4ResidenceCleveland, OhioEducationYale University (BA)Ohio State University (MA, MPA)SignatureWebsiteSenate website"
"1098","Deborah Pryce","Deborah D. Pryce","1951-07-29",NA,NA,"Deborah PryceChair of the House Republican ConferenceIn officeJanuary 3, 2003<U+00A0><U+0096> January 3, 2007DeputyJack KingstonLeaderDennis HastertPreceded byJ. C. WattsSucceeded byAdam PutnamVice Chair of the House Republican ConferenceIn officeJanuary 3, 2001<U+00A0><U+0096> January 3, 2003LeaderDennis HastertPreceded byTillie FowlerSucceeded byJack KingstonSecretary of the House Republican ConferenceIn officeJanuary 3, 1999<U+00A0><U+0096> January 3, 2001LeaderDennis HastertPreceded byTillie FowlerSucceeded byBarbara CubinMember of the U.S. House of Representativesfrom Ohio's 15th districtIn officeJanuary 3, 1993<U+00A0><U+0096> January 3, 2009Preceded byChalmers WylieSucceeded byMary Jo Kilroy",0,"Born (1951-07-29) July 29, 1951 (age<U+00A0>68)Warren, Ohio, U.S.Political partyRepublicanEducationOhio State University (BA)Capital University (JD)"
"1099","Bob Ney","Robert W. Ney","1954-07-05",NA,NA,"Bob NeyMember of the U.S. House of Representativesfrom Ohio's 18th districtIn officeJanuary 3, 1995<U+00A0><U+0096> November 3, 2006Preceded byDoug ApplegateSucceeded byZack SpaceMember of the Ohio Senatefrom the 20th districtIn officeJanuary 10, 1984<U+00A0><U+0096> January 3, 1995Preceded bySam SpeckSucceeded byJames E. CarnesMember of the Ohio House of Representativesfrom the 99th districtIn officeJanuary 3, 1981<U+00A0><U+0096> December 31, 1982Preceded byWayne HaysSucceeded byJack Cera",0,"BornRobert William Ney (1954-07-05) July 5, 1954 (age<U+00A0>65)Wheeling, West Virginia, U.S.Political partyRepublicanSpouse(s)Liz Ney (Divorced)ResidenceHeath, Ohio, U.S.Alma materOhio State UniversityOccupationtransportation administrator"
"1100","Steve LaTourette","Steven C. LaTourette","1954-07-22"," 2016-08-03",NA,"Steve LaTouretteMember of the U.S. House of Representativesfrom Ohio's 14th districtIn officeJanuary 3, 2003<U+00A0><U+0096> January 3, 2013Preceded byTom SawyerSucceeded byDave JoyceMember of the U.S. House of Representativesfrom Ohio's 19th districtIn officeJanuary 3, 1995<U+00A0><U+0096> January 3, 2003Preceded byEric FingerhutSucceeded byConstituency abolished",0,"Born(1954-07-22)July 22, 1954Cleveland, Ohio, U.S.DiedAugust 3, 2016(2016-08-03) (aged<U+00A0>62)McLean, Virginia, U.S.Political partyRepublicanSpouse(s)Susan LaTourette (1982<U+0096>2003)Jennifer Laptook (2003<U+0096>2016)Children6, including SarahAlma materUniversity of Michigan, Ann ArborCleveland State University"
"1101","Mike Turner","Mike Turner","1960-01-11",NA,NA,"Mike TurnerPresident of the NATO Parliamentary AssemblyIn officeNovember 24, 2014<U+00A0><U+0096> November 19, 2016Preceded byHugh BayleySucceeded byPaolo AlliMember of theU.S. House of Representativesfrom OhioIncumbentAssumed office January 3, 2003Preceded byTony P. HallConstituency3rd district (2003<U+0096>2013)10th district (2013<U+0096>present)53rd Mayor of DaytonIn officeJanuary 1994<U+00A0><U+0096> December 2002Preceded byClay DixonSucceeded byRhine McLin",0,"Born (1960-01-11) January 11, 1960 (age<U+00A0>60)Dayton, Ohio, U.S.Political partyRepublicanSpouse(s)
Lori Turner(m.<U+00A0>1987; div.<U+00A0>2013)
Majida Mourad(m.<U+00A0>2015; div.<U+00A0>2018)EducationOhio Northern University (BA)Case Western Reserve University (JD)University of Dayton (MBA)"
"1102","Stephanie Tubbs Jones","Stephanie Tubbs Jones","1949-09-10"," 2008-08-20",NA,"Stephanie Tubbs JonesChair of the House Ethics CommitteeIn officeJanuary 3, 2007<U+00A0><U+0096> August 20, 2008Preceded byDoc HastingsSucceeded byGene Green (Acting)Member of the U.S. House of Representativesfrom Ohio's 11th districtIn officeJanuary 3, 1999<U+00A0><U+0096> August 20, 2008Preceded byLouis StokesSucceeded byMarcia Fudge",0,"BornStephanie Tubbs(1949-09-10)September 10, 1949Cleveland, Ohio, U.S.DiedAugust 20, 2008(2008-08-20) (aged<U+00A0>58)East Cleveland, Ohio, U.S.Political partyDemocraticSpouse(s)Mervyn Jones (1976<U+0096>2003)EducationCase Western Reserve University (BA, JD)"
"1103","Pat Tiberi","Pat Tiberi","1962-10-21",NA,NA,"Pat TiberiMember of the U.S. House of Representativesfrom Ohio's 12th districtIn officeJanuary 3, 2001<U+00A0><U+0096> January 15, 2018Preceded byJohn KasichSucceeded byTroy BaldersonChair of the Joint Economic CommitteeIn officeJanuary 3, 2017<U+00A0><U+0096> January 11, 2018Preceded byDan CoatsSucceeded byErik PaulsenMember of the Ohio House of Representativesfrom the 26th districtIn officeJanuary 3, 1993<U+00A0><U+0096> December 31, 2000Preceded byConstituency establishedSucceeded byLinda Reidelbach",0,"BornPatrick Joseph Tiberi (1962-10-21) October 21, 1962 (age<U+00A0>57)Columbus, Ohio, U.S.Political partyRepublicanSpouse(s)Denice TiberiEducationOhio State University (BA)"
"1104","Tim Ryan (Ohio politician)","Timothy J. Ryan","1973-07-16",NA,NA,"Tim RyanMember of the U.S. House of Representativesfrom OhioIncumbentAssumed office January 3, 2003Preceded byJames TraficantConstituency17th district (2003<U+0096>2013)13th district (2013<U+0096>present)Member of the Ohio Senatefrom the 32nd districtIn officeJanuary 3, 2001<U+00A0><U+0096> December 19, 2002Preceded byAnthony LatellSucceeded byMarc Dann",0,"BornTimothy John Ryan (1973-07-16) July 16, 1973 (age<U+00A0>46)Niles, Ohio, U.S.Political partyDemocraticSpouse(s)Andrea Zetts (m.<U+00A0>2013)Children1ResidenceHowland Township, Ohio, U.S.EducationYoungstown State UniversityBowling Green State University (BA)University of New Hampshire (JD)"
"1105","Jean Schmidt","Jean Schmidt","1951-11-29",NA,NA,"Jean SchmidtMember of the U.S. House of Representativesfrom Ohio's 2nd districtIn officeAugust 2, 2005<U+00A0><U+0096> January 3, 2013Preceded byRob PortmanSucceeded byBrad WenstrupMember of the Ohio House of Representativesfrom the 66th districtIn officeJanuary 3, 2001<U+0096>December 31, 2004Preceded bySam BatemanSucceeded byJoe Uecker",0,"Born (1951-11-29) November 29, 1951 (age<U+00A0>68)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)Peter SchmidtChildrenEmilie SchmidtResidenceLoveland, OhioAlma materUniversity of CincinnatiOccupationPolitician, teacher, bank manager"
"1106","Betty Sutton","Betty Sutton","1963-07-31",NA,NA,"Betty SuttonMember of the U.S. House of Representativesfrom Ohio's 13th districtIn officeJanuary 3, 2007<U+00A0><U+0096> January 3, 2013Preceded bySherrod BrownSucceeded byJim Renacci (Redistricting)Member of the Ohio House of Representativesfrom the 47th districtIn officeJanuary 3, 1993<U+00A0><U+0096> December 31, 2000Preceded byCliff SkeenSucceeded byBob Otterman",0,"BornBetty Sue Sutton (1963-07-31) July 31, 1963 (age<U+00A0>56)Barberton, Ohio, U.S.Political partyDemocraticSpouse(s)Doug CorwonEducation
Kent State University (BA)
University of Akron (JD)"
"1107","Zack Space","Zack Space","1961-01-27",NA,NA,"Zack SpaceMember of the U.S. House of Representativesfrom Ohio's 18th districtIn officeJanuary 3, 2007<U+00A0><U+0096> January 3, 2011Preceded byBob NeySucceeded byBob GibbsLaw Director of Dover, OhioIn office2001<U+0096>2007MayorRichard P. HomrighausenPreceded byThomas G. Watson[1]Succeeded byDouglas J. O'Meara",0,"Born (1961-01-27) January 27, 1961 (age<U+00A0>59)Dover, Ohio, U.S.Political partyDemocraticChildren2EducationKenyon College (B.A.)Ohio State University, Columbus (J.D.)OccupationAttorney, Economic Development Consultant"
"1108","Steve Driehaus","Steven Driehaus","1966-06-24",NA,NA,"Steve DriehausMember of the U.S. House of Representativesfrom Ohio's 1st districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2011Preceded bySteve ChabotSucceeded bySteve ChabotMinority Whip of the Ohio House of RepresentativesIn officeJanuary 2005<U+00A0><U+0096> January 2008Preceded byDale MillerSucceeded byFred StrahornMember of the Ohio House of Representativesfrom the 31st districtIn officeJanuary 2003<U+00A0><U+0096> January 2009Preceded byCatherine BarrettSucceeded byDenise DriehausMember of the Ohio House of Representativesfrom the 33rd districtIn officeJanuary 2001<U+00A0><U+0096> January 2003Preceded byJerry LuebbersSucceeded byTyrone Yates",0,"BornSteven Leo Driehaus (1966-06-24) June 24, 1966 (age<U+00A0>53)Cincinnati, Ohio, U.S.Political partyDemocraticSpouse(s)Lucienne DriehausChildren3ResidenceCincinnati, Ohio, U.S.Alma materMiami University,Indiana UniversityProfessionPolitical activist"
"1109","Bob Latta","Bob Latta","1956-04-18",NA,NA,"Bob LattaMember of the U.S. House of Representativesfrom Ohio's 5th districtIncumbentAssumed office December 11, 2007Preceded byPaul GillmorMember of the Ohio House of Representativesfrom the 6th districtIn officeJanuary 3, 2001<U+00A0><U+0096> December 10, 2007Preceded byRandy GardnerSucceeded byRandy GardnerMember of the Ohio Senatefrom the 2nd districtIn officeJanuary 3, 1997<U+00A0><U+0096> December 31, 2000Preceded bySteve YarbroughSucceeded byRandy Gardner",0,"Born (1956-04-18) April 18, 1956 (age<U+00A0>63)Bluffton, Ohio, U.S.Political partyRepublicanSpouse(s)Marcia LattaEducationBowling Green State University (BA)University of Toledo (JD)"
"1110","Steve Austria","Steve Austria","1958-10-12",NA,NA,"Steve AustriaMember of the U.S. House of Representativesfrom Ohio's 7th districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2013Preceded byDave HobsonSucceeded byBob GibbsMember of the Ohio Senatefrom the 10th districtIn officeJanuary 3, 2001<U+00A0><U+0096> December 31, 2008Preceded byMerle G. KearnsSucceeded byChris WidenerMember of the Ohio House of Representativesfrom the 76th districtIn officeJanuary 5, 1999<U+00A0><U+0096> December 31, 2000Preceded byMarilyn ReidSucceeded byKevin DeWine",0,"BornStephen Clement Austria (1958-10-12) October 12, 1958 (age<U+00A0>61)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)EileenChildren3 sonsEducationMarquette University (BA)"
"1111","Marcia Fudge","Marcia Fudge","1952-10-29",NA,NA,"Marcia FudgeMember of the U.S. House of Representativesfrom Ohio's 11th districtIncumbentAssumed office November 18, 2008Preceded byStephanie Tubbs JonesMayor of Warrensville HeightsIn officeJanuary 16, 2000<U+00A0><U+0096> November 18, 2008Preceded byClinton HallSucceeded byWilliam Pegues",0,"BornMarcia Louise Fudge (1952-10-29) October 29, 1952 (age<U+00A0>67)Cleveland, Ohio, U.S.Political partyDemocraticEducationOhio State University (BS)Cleveland State University (JD)"
"1112","Mary Jo Kilroy","Mary Jo Kilroy","1949-04-30",NA,NA,"Mary Jo KilroyMember of the U.S. House of Representativesfrom Ohio's 15th districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2011Preceded byDeborah PryceSucceeded bySteve StiversMember of the Franklin County Board of CommissionersIn officeJanuary 3, 2001<U+00A0><U+0096> January 3, 2009Preceded byDorothy TeaterSucceeded byJohn O'Grady",0,"Born (1949-04-30) April 30, 1949 (age<U+00A0>70)Euclid, Ohio, U.S.Political partyDemocraticSpouse(s)Robert HandelmanResidenceColumbus, Ohio, U.S.Alma materCleveland State University,The Ohio State UniversityProfessionAttorney"
"1113","John Boccieri","John Boccieri","1969-10-05",NA,NA,"John BoccieriMember of the Ohio House of Representativesfrom the 59th districtIn officeSeptember 29, 2015<U+00A0><U+0096> December 31, 2018Preceded byRon GerberrySucceeded byDon ManningMember of the U.S. House of Representativesfrom Ohio's 16th districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2011Preceded byRalph RegulaSucceeded byJim RenacciMember of the Ohio Senatefrom the 33rd districtIn office1 January 2007 <U+0096> 31 December 2008Preceded byBob HaganSucceeded byJoe SchiavoniMember of the Ohio House of Representativesfrom the 61st districtIn officeJanuary 3, 2001 <U+0096> December 31, 2006Preceded byRon HoodSucceeded byMark Okey",1,"Born (1969-10-05) October 5, 1969 (age<U+00A0>50)Youngstown, Ohio, U.S.Political partyDemocraticSpouse(s)Stacey Kennedy-BoccieriResidencePoland, OhioAlma materSt. Bonaventure University (B.S.)Webster University (M.A./M.P.A.)ProfessionAir Force OfficerPoliticianMilitary serviceAllegianceUnited States of AmericaBranch/serviceUnited States Air ForceYears<U+00A0>of service1994<U+0096>1998 (Air Force1998-present (Air Force Reserve)RankLieutenant Colonel Unit773d Airlift SquadronBattles/warsOperation Iraqi Freedom"
"1114","Steve Stivers","Steve Stivers","1965-03-24",NA,NA,"Steve StiversMember of the U.S. House of Representativesfrom Ohio's 15th districtIncumbentAssumed office January 3, 2011Preceded byMary Jo KilroyChair of the National Republican Congressional CommitteeIn officeJanuary 3, 2017<U+00A0><U+0096> January 3, 2019LeaderPaul RyanPreceded byGreg WaldenSucceeded byTom EmmerMember of the Ohio Senatefrom the 15th districtIn officeJanuary 6, 2003<U+00A0><U+0096> December 31, 2008Preceded byPriscilla MeadSucceeded byJim Hughes",1,"BornSteven Ernst Stivers (1965-03-24) March 24, 1965 (age<U+00A0>54)Ripley, Ohio, U.S.Political partyRepublicanSpouse(s)Karen StiversEducationOhio State University (BA, MBA)United States Army War College (MA)Military serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States ArmyYears<U+00A0>of service1985<U+0096>presentRank Brigadier GeneralCommands371st Sustainment BrigadeAwards Bronze Star Meritorious Service Army Commendation Medal Reserve Good Conduct National Defense Service Medal"
"1115","Jim Renacci","Jim Renacci","1958-12-03",NA,NA,"Jim RenacciMember of the U.S. House of Representativesfrom Ohio's 16th districtIn officeJanuary 3, 2011<U+00A0><U+0096> January 3, 2019Preceded byJohn BoccieriSucceeded byAnthony GonzalezMayor of WadsworthIn office2004<U+0096>2008Preceded byCaesar CarrinoSucceeded byRobin Laubaugh",0,"Born (1958-12-03) December 3, 1958 (age<U+00A0>61)Monongahela, Pennsylvania, U.S.Political partyRepublicanSpouse(s)TinaChildren3EducationIndiana University of Pennsylvania (BS)"
"1116","Bob Gibbs","Bob Gibbs","1954-06-14",NA,NA,"Bob GibbsMember of theU.S. House of Representativesfrom OhioIncumbentAssumed office January 3, 2011Preceded byZack SpaceConstituency18th district (2011<U+0096>2013)7th district (2013<U+0096>present)Member of the Ohio Senatefrom the 22nd districtIn officeJanuary 5, 2009<U+00A0><U+0096> December 31, 2010Preceded byRon AmstutzSucceeded byLarry ObhofMember of the Ohio House of Representativesfrom the 97th districtIn officeJanuary 3, 2003<U+00A0><U+0096> December 31, 2008Preceded byBryan FlannerySucceeded byDave Hall",0,"BornRobert Brian Gibbs (1954-06-14) June 14, 1954 (age<U+00A0>65)Peru, Indiana, U.S.Political partyRepublicanSpouse(s)Jody Cox (m.<U+00A0>1977)Children3EducationOhio State University Agricultural Technical Institute (AAS)"
"1117","Brad Wenstrup","Brad Wenstrup","1958-06-17",NA,NA,"Brad WenstrupMember of the U.S. House of Representativesfrom Ohio's 2nd districtIncumbentAssumed office January 3, 2013Preceded byJean Schmidt",1,"Born (1958-06-17) June 17, 1958 (age<U+00A0>61)Cincinnati, Ohio, U.S.Political partyRepublicanSpouse(s)Monica Klein (m.<U+00A0>2012)EducationUniversity of Cincinnati (BA)Rosalind Franklin University (BS, DPM)WebsiteHouse websiteMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States ArmyYears<U+00A0>of service1998<U+0096>presentRank ColonelUnitUnited States Army ReserveBattles/warsIraq WarAwards Soldier's Medal Bronze Star"
"1118","Joyce Beatty","Joyce Beatty","1950-03-12",NA,NA,"Joyce BeattyMember of the U.S. House of Representativesfrom Ohio's 3rd districtIncumbentAssumed office January 3, 2013Preceded byNew Constituency (Redistricting)Member of the Ohio House of Representativesfrom the 27th districtIn officeMay 31, 1999<U+00A0><U+0096> December 31, 2008Preceded byOtto Beatty Jr.Succeeded byW. Carlton Weddington",0,"BornJoyce Birdsong Hannah (1950-03-12) March 12, 1950 (age<U+00A0>69)Dayton, Ohio, U.S.Political partyDemocraticSpouse(s)Otto Beatty Jr.EducationCentral State University (BA)Wright State University (MS)University of CincinnatiWebsiteHouse website"
"1119","Warren Davidson","Warren Davidson","1970-03-01",NA,NA,"Warren DavidsonMember of the U.S. House of Representativesfrom Ohio's 8th districtIncumbentAssumed office June 7, 2016Preceded byJohn Boehner",0,"BornWarren Earl Davidson (1970-03-01) March 1, 1970 (age<U+00A0>49)Troy, Ohio, U.S.Political partyRepublicanEducationUnited States Military Academy (BS)University of Notre Dame (MBA)"
"1120","Troy Balderson","Troy Balderson","1962-01-16",NA,NA,"Troy BaldersonMember of the U.S. House of Representativesfrom Ohio's 12th districtIncumbentAssumed office September 5, 2018Preceded byPat TiberiMember of the Ohio Senatefrom the 20th districtIn officeJuly 13, 2011<U+00A0><U+0096> September 5, 2018Preceded byJimmy StewartSucceeded byBrian HillMember of the Ohio House of Representativesfrom the 94th districtIn officeJanuary 5, 2009<U+00A0><U+0096> July 13, 2011Preceded byJim AslanidesSucceeded byBrian Hill",0,"BornWilliam Troy Balderson (1962-01-16) January 16, 1962 (age<U+00A0>58)Zanesville, Ohio, U.S.Political partyRepublicanSpouse(s)Angela Mattingly(m.<U+00A0>1985; div.<U+00A0>2014)EducationMuskingum UniversityOhio State UniversityWebsiteHouse website"
"1121","Anthony Gonzalez","Anthony Gonzalez","1984-09-18",NA,NA,"Anthony GonzalezMember of the U.S. House of Representativesfrom Ohio's 16th districtIncumbentAssumed office January 3, 2019Preceded byJim Renacci",0,"Born (1984-09-18) September 18, 1984 (age<U+00A0>35)Cleveland, Ohio, U.S.Political partyRepublicanEducationOhio State University (BA)Stanford University (MBA)WebsiteHouse websiteFootball careerNo. 11Position:Wide receiverPersonal informationHeight:6<U+00A0>ft 0<U+00A0>in (1.83<U+00A0>m)Weight:193<U+00A0>lb (88<U+00A0>kg)Career informationCollege:Ohio StateNFL Draft:2007<U+00A0>/ Round:<U+00A0>1<U+00A0>/ Pick:<U+00A0>32Career history
 
Indianapolis Colts (2007<U+0096>2011)
New England Patriots (2012)*<U+00A0>* Offseason and/or practice squad member only
Career highlights and awards
 
First-team All-Big Ten (2006)
Career NFL statisticsReceptions:99Receiving yards:1,307Receiving touchdowns:7Player stats at NFL.com"
